easy_factor,hard_intensity,overall_d_z,easy_d_z,medium_d_z,hard_d_z,overall_p_value,overall_bonf_sig,mean_diff,sd_diff,verdict,delta_d_z_vs_wave233,easy_regression_eliminated,n_paired
0.0,1.0,0.39939296799585056,1.164835741136458e-16,0.2181142515180313,1.1889349923927075,4.943706965869196e-34,1,5.2637914603484965,13.179479565607133,SUPPORTED,0.17593018510898864,True,1000
0.0,1.5,0.5042066812093006,1.164835741136458e-16,0.2181142515180313,1.7834024885890616,3.6671163374932343e-51,1,7.456186924575949,14.787957404080533,SUPPORTED,0.2807438983224386,True,1000
0.0,2.0,0.5733401325789791,1.164835741136458e-16,0.2181142515180313,2.377869984785415,9.892934445616955e-64,1,9.648582388803403,16.828723196826424,SUPPORTED,0.34987734969211715,True,1000
0.0,3.0,0.6467183780093474,1.164835741136458e-16,0.2181142515180313,3.566804977178123,6.342999951820903e-78,1,14.033373317258306,21.699357547954936,SUPPORTED,0.42325559512248545,True,1000
0.1,1.0,0.3630837932966527,-0.0998239425515867,0.2181142515180313,1.1889349923927075,9.474195131856455e-29,1,4.849725864518493,13.357043068446984,SUPPORTED,0.13962101040979077,False,1000
0.1,1.5,0.46925268383355395,-0.0998239425515867,0.2181142515180313,1.7834024885890616,3.635763850083192e-45,1,7.042121328745945,15.007098672756483,SUPPORTED,0.24578990094669204,False,1000
0.1,2.0,0.5408236462667346,-0.0998239425515867,0.2181142515180313,2.377869984785415,1.0375660108751947e-57,1,9.234516792973398,17.074913156476388,SUPPORTED,0.3173608633798727,False,1000
0.1,3.0,0.6198002707469281,-0.0998239425515867,0.2181142515180313,3.566804977178123,1.251681179448447e-72,1,13.619307721428301,21.973704053106534,SUPPORTED,0.3963374878600662,False,1000
0.25,1.0,0.3094056654409234,-0.24955985637896688,0.2181142515180313,1.1889349923927075,1.189855342766141e-21,1,4.228627470773486,13.666936139477002,SUPPORTED,0.08594288255406149,False,1000
0.25,1.5,0.4176955046253407,-0.24955985637896688,0.2181142515180313,1.7834024885890616,7.857108492360681e-37,1,6.421022935000939,15.372497103506985,SUPPORTED,0.1942327217384788,False,1000
0.25,2.0,0.49289640955852604,-0.24955985637896688,0.2181142515180313,2.377869984785415,3.4125773554352394e-49,1,8.61341839922839,17.475108830561773,SUPPORTED,0.26943362667166415,False,1000
0.25,3.0,0.5800676079226041,-0.24955985637896688,0.2181142515180313,3.566804977178123,5.338885691972456e-65,1,12.998209327683295,22.4080937293392,SUPPORTED,0.3566048250357422,False,1000
0.5,1.0,0.22346278288686192,-0.499119712757934,0.2181142515180313,1.1889349923927075,2.9775112702622114e-12,1,3.1934634811984752,14.29080690727507,SUPPORTED,0.0,False,1000
0.5,1.5,0.3351146690351004,-0.499119712757934,0.2181142515180313,1.7834024885890616,6.107369020705613e-25,1,5.385858945425928,16.071689612792824,SUPPORTED,0.11165188614823848,False,1000
0.5,2.0,0.4159680749845202,-0.499119712757934,0.2181142515180313,2.377869984785415,1.4559899030999066e-36,1,7.578254409653378,18.218355843619477,SUPPORTED,0.1925052920976583,False,1000
0.5,3.0,0.515888770707545,-0.499119712757934,0.2181142515180313,3.566804977178123,3.187687658634405e-53,1,11.963045338108284,23.189195069512532,SUPPORTED,0.2924259878206831,False,1000
0.75,1.0,0.14356008991993988,-0.7486795691369009,0.2181142515180313,1.1889349923927075,6.317216861510788e-06,1,2.158299491623464,15.034119112262312,SUPPORTED,-0.07990269296692204,False,1000
0.75,1.5,0.25787571034166884,-0.7486795691369009,0.2181142515180313,1.7834024885890616,1.0427013926736639e-15,1,4.3506949558509165,16.871286365383245,SUPPORTED,0.034412927454806924,False,1000
0.75,2.0,0.3435210924224838,-0.7486795691369009,0.2181142515180313,2.377869984785415,4.630383011030778e-26,1,6.543090420078368,19.04712858804974,SUPPORTED,0.12005830953562188,False,1000
0.75,3.0,0.4546538441355028,-0.7486795691369009,0.2181142515180313,3.566804977178123,9.661559258821317e-43,1,10.927881348533273,24.035607505556207,SUPPORTED,0.2311910612486409,False,1000
