dataset,metric,n_paired,mean_diff,sd_diff,t_statistic,df,p_value_raw,cohens_d_z,ci_95_low,ci_95_high,verdict
lineageflow_n1000,plddt_mean,574,7.186638419725036,15.176988336372894,11.344781626248134,573,4.7406013651171356e-27,0.47352203615401545,5.945026922323351,8.428249917126722,SUPPORTED
lineageflow_n1000,sc_perplexity,574,-3.714818682055893,3.660973910347937,-24.310670286680345,573,3.0476610177312645e-90,-1.014707772583618,-4.014318635408425,-3.415318728703361,SUPPORTED
