scope,metric,tier,n_paired,uniform_d_z,uniform_mean_diff,uniform_p_value,tier_aware_d_z,tier_aware_mean_diff,tier_aware_p_value,delta_d_z,tier_boundary_low,tier_boundary_high,verdict,bonf_sig
overall,reconstruction_rmsd_A,all,1000,-0.09900259141333856,-0.01896431033601489,0.0017943338542103756,0.04653246818322937,0.008102569049280127,0.14147469685937353,0.14553505959656793,0.8380979632221934,0.9528736792253986,TIE,False
per_tier,reconstruction_rmsd_A,hard,330,0.8378052306497489,0.12450552066431513,5.678288793254167e-40,0.8378052306497489,0.12450552066431513,5.678288793254167e-40,0.0,0.8380979632221934,0.9528736792253986,REGRESSES,True
per_tier,reconstruction_rmsd_A,medium,340,-0.12250347200003155,-0.017404039366614246,0.024527490179771454,-0.12250347200003155,-0.017404039366614246,0.024527490179771454,0.0,0.8380979632221934,0.9528736792253986,UNDERPOWERED,False
per_tier,reconstruction_rmsd_A,easy,330,-1.002517582172382,-0.16404169324421225,9.622851500894906e-52,-0.5012587910861909,-0.08202084662210611,8.486945700012198e-18,0.5012587910861911,0.8380979632221934,0.9528736792253986,SUPPORTED,True
d4_gate,byte_stable,all,30,,,,,,,,,,PASS,True
