tier,metric,metric_direction,n_records,n_clusters,naive_mean_diff,naive_sd_diff,naive_t,naive_df,naive_p,naive_d_z,cluster_mean_diff,cluster_sd_means,cluster_t,cluster_df,cluster_p,cluster_d_z,wilcoxon_p,icc,n_eff,alpha_one_metric_K,alpha_full_6x4,verdict_naive,verdict_cluster_robust
overall,plddt_mean,higher_is_better,1000,4,1.123135502048454,15.880109247185699,2.2365502983546888,999,0.025535792830358627,0.07072593044329957,1.1231355020484535,3.372357997226303,0.6660831993354264,3,0.55299975176992,0.3330415996677132,0.625,0.04080287845592325,89.6064033181128,0.0125,0.0020833333333333333,SUPPORTED,UNDERPOWERED
overall,sc_perplexity,lower_is_better,1000,4,-3.9166497585365487,3.637727585033731,-34.04744787674682,999,2.7410526926543806e-169,-1.076674838063838,-3.9166497585365487,0.9745254605052855,-8.038065535005703,3,0.00402098228231571,-4.019032767502852,0.125,0.06683895094425359,56.680028162007446,0.0125,0.0020833333333333333,REGRESSES,REGRESSES
hard,plddt_mean,higher_is_better,330,4,13.287245237742134,11.175754202508434,21.598076704300073,329,4.824788011685385e-65,1.1889349923927075,13.370066923525773,5.001629794313807,5.346284100724837,3,0.012798258989263052,2.6731420503624186,0.125,0.1884869664987335,20.16906841433536,0.0125,0.0020833333333333333,SUPPORTED,UNDERPOWERED
hard,sc_perplexity,lower_is_better,330,4,-2.99678487922889,2.900322389914765,-18.77008604071357,329,5.996146806129552e-54,-1.0332592299564876,-3.0655257369063142,1.0349486725623356,-5.924015012873357,3,0.009611107463870684,-2.9620075064366786,0.125,0.10430768867231989,34.732905855044265,0.0125,0.0020833333333333333,REGRESSES,REGRESSES
medium,plddt_mean,higher_is_better,340,4,2.585295682039977,11.852942501679001,4.021828077279304,339,7.123102571186228e-05,0.2181142515180313,2.8305051006443374,4.082894209113217,1.3865189523287247,3,0.2596604099024473,0.6932594761643623,0.375,0.10716298668621516,33.99425197434006,0.0125,0.0020833333333333333,SUPPORTED,UNDERPOWERED
medium,sc_perplexity,lower_is_better,340,4,-3.9807800917434553,3.49807581349314,-20.98352407856252,339,3.0454036947607346e-63,-1.1379913712528409,-4.019929444012126,0.783089134208808,-10.266850268772153,3,0.0019702532179525227,-5.133425134386076,0.125,0.037776464593772714,81.47180198416468,0.0125,0.0020833333333333333,REGRESSES,REGRESSES
easy,plddt_mean,higher_is_better,330,4,-12.54744229787892,12.569571965557943,-18.133919700823164,329,1.9512849290126757e-51,-0.998239425515868,-12.88376395831632,3.123517324856071,-8.249522969372352,3,0.0037297082073422475,-4.124761484686176,0.125,0.04768716763661717,67.53294155365688,0.0125,0.0020833333333333333,REGRESSES,REGRESSES
easy,sc_perplexity,lower_is_better,330,4,-4.770440961206789,4.19253702825808,-20.669910130382032,329,2.0170843648690516e-61,-1.1378411040984453,-4.679065818042483,1.2524516228706226,-7.471850780660176,3,0.004964404753211462,-3.735925390330088,0.125,0.07484287244222207,46.48087581860269,0.0125,0.0020833333333333333,REGRESSES,REGRESSES
