model,nfe,A_g,B_g,C_g,e_rho,theoretical_bound,empirical_BL,tightness_ratio,baseline_bound,baseline_tightness_ratio,ci_low,ci_high,tight_F,tight_B
lineageflow,10,0.8346268420586032,3.5449074735023043,1.240756198591853,0.00010000000000000002,0.04982565097088065,2.2326454124189485,44.8091569084318,0.05686646012532079,39.26119908815678,0.6172417525401176,7.787074372534006,False,False
lineageflow,50,0.8346268420586032,3.5449074735023043,1.240756198591853,0.00010000000000000002,0.00012470062182190549,0.3821042040029443,3064.1724028341782,0.0071655097762620456,53.32547382306029,0.14607256786230982,1.9893437962824465,False,False
lineageflow,100,0.8346268420586032,3.5449074735023043,1.240756198591853,0.00010000000000000002,0.0001240756203272118,0.404647683371115,3261.298894206449,0.007164884774767352,56.47650954501975,0.15584136952559977,2.135687851372362,False,False
lineageflow,150,0.8346268420586032,3.5449074735023043,1.240756198591853,0.00010000000000000002,0.00012407561985918567,0.697006676495775,5617.595763670679,0.007164884774299325,97.28093311367137,0.41731484244565403,4.21845735309899,False,False
lineageflow,200,0.8346268420586032,3.5449074735023043,1.240756198591853,0.00010000000000000002,0.00012407561985918532,0.36103696371939265,2909.813903240114,0.007164884774299325,50.38977947202221,0.14622999166150022,2.0122627466289784,False,False
lineageflow,300,0.8346268420586032,3.5449074735023043,1.240756198591853,0.00010000000000000002,0.00012407561985918532,0.6492407195855154,5232.62120569976,0.007164884774299325,90.61425829405701,0.38270671462254496,4.502782639788159,False,False
kanzi,10,0.8346268420586032,3.5449074735023043,1.240756198591853,0.00010000000000000002,0.04982565097088065,1.2720879999722392,25.530785352221066,0.05686646012532079,22.36974127049311,0.6142067122773466,6.093537367034734,False,False
kanzi,50,0.8346268420586032,3.5449074735023043,1.240756198591853,0.00010000000000000002,0.00012470062182190549,0.08840115536693993,708.9070934481176,0.0071655097762620456,12.33703646037801,0.11832740455957046,1.1267989256485988,False,False
kanzi,100,0.8346268420586032,3.5449074735023043,1.240756198591853,0.00010000000000000002,0.0001240756203272118,0.5212756244084158,4201.273570373532,0.007164884774767352,72.75422296310997,0.1455424278982157,2.2474775293275466,False,False
kanzi,150,0.8346268420586032,3.5449074735023043,1.240756198591853,0.00010000000000000002,0.00012407561985918567,0.9332939388639883,7521.97683898892,0.007164884774299325,130.25944844385273,0.5007454240068798,4.976393598611184,False,False
kanzi,200,0.8346268420586032,3.5449074735023043,1.240756198591853,0.00010000000000000002,0.00012407561985918532,0.29118239773210775,2346.813967664023,0.007164884774299325,40.640206633411395,0.13727238981157935,1.7261788010292702,False,False
kanzi,300,0.8346268420586032,3.5449074735023043,1.240756198591853,0.00010000000000000002,0.00012407561985918532,0.7288540750833672,5874.273091768963,0.007164884774299325,101.7258613422215,0.37863984301794584,4.904026880348862,False,False
