cell,metric,n_seed,d_z_observed,d_z_abs,sigma_record,A_g,exp_A_g,d,noise_floor_metric,d_z_floor,verdict_per_seed,below_floor,consistent_with_bound_corrected,verdict_pair
vanilla_pLDDT_NFE50,pLDDT,30,0.056331,0.056331,15.177,0.8549457422,2.3512,512,13.7369,0.9051,UNDERPOWERED,TRUE,YES,UNDERPOWERED+UNDERPOWERED
vanilla_pLDDT_NFE100,pLDDT,30,0.052847,0.052847,15.177,0.8549457422,2.3512,512,13.7369,0.9051,UNDERPOWERED,TRUE,YES,UNDERPOWERED+UNDERPOWERED
vanilla_scPerplexity_NFE50,scPerplexity,30,-2.931600,2.931600,3.661,0.8549457422,2.3512,512,13.7369,3.7522,SUPPORTED,TRUE,NO,SUPPORTED+UNDERPOWERED
vanilla_scPerplexity_NFE100,scPerplexity,30,-2.994460,2.994460,3.661,0.8549457422,2.3512,512,13.7369,3.7522,SUPPORTED,TRUE,NO,SUPPORTED+UNDERPOWERED
fastdllm_pLDDT_NFE50,pLDDT,30,-0.188539,0.188539,15.177,0.8549457422,2.3512,512,13.7369,0.9051,UNDERPOWERED,TRUE,YES,UNDERPOWERED+UNDERPOWERED
fastdllm_pLDDT_NFE100,pLDDT,30,-0.226397,0.226397,15.177,0.8549457422,2.3512,512,13.7369,0.9051,UNDERPOWERED,TRUE,YES,UNDERPOWERED+UNDERPOWERED
fastdllm_scPerplexity_NFE50,scPerplexity,30,0.020226,0.020226,3.661,0.8549457422,2.3512,512,13.7369,3.7522,UNDERPOWERED,TRUE,YES,UNDERPOWERED+UNDERPOWERED
fastdllm_scPerplexity_NFE100,scPerplexity,30,0.024526,0.024526,3.661,0.8549457422,2.3512,512,13.7369,3.7522,UNDERPOWERED,TRUE,YES,UNDERPOWERED+UNDERPOWERED
abcache_pLDDT_NFE50,pLDDT,30,-0.078224,0.078224,15.177,0.8549457422,2.3512,512,13.7369,0.9051,UNDERPOWERED,TRUE,YES,UNDERPOWERED+UNDERPOWERED
abcache_pLDDT_NFE100,pLDDT,30,-0.106195,0.106195,15.177,0.8549457422,2.3512,512,13.7369,0.9051,UNDERPOWERED,TRUE,YES,UNDERPOWERED+UNDERPOWERED
abcache_scPerplexity_NFE50,scPerplexity,30,-0.194994,0.194994,3.661,0.8549457422,2.3512,512,13.7369,3.7522,UNDERPOWERED,TRUE,YES,UNDERPOWERED+UNDERPOWERED
abcache_scPerplexity_NFE100,scPerplexity,30,-0.082899,0.082899,3.661,0.8549457422,2.3512,512,13.7369,3.7522,UNDERPOWERED,TRUE,YES,UNDERPOWERED+UNDERPOWERED
lediflow_pLDDT_NFE50,pLDDT,30,-0.191464,0.191464,15.177,0.8549457422,2.3512,512,13.7369,0.9051,UNDERPOWERED,TRUE,YES,UNDERPOWERED+UNDERPOWERED
lediflow_pLDDT_NFE100,pLDDT,29,-0.163341,0.163341,15.177,0.8549457422,2.3512,512,13.9717,0.9206,UNDERPOWERED,TRUE,YES,UNDERPOWERED+UNDERPOWERED
lediflow_scPerplexity_NFE50,scPerplexity,30,0.191483,0.191483,3.661,0.8549457422,2.3512,512,13.7369,3.7522,UNDERPOWERED,TRUE,YES,UNDERPOWERED+UNDERPOWERED
lediflow_scPerplexity_NFE100,scPerplexity,29,0.122421,0.122421,3.661,0.8549457422,2.3512,512,13.9717,3.8164,UNDERPOWERED,TRUE,YES,UNDERPOWERED+UNDERPOWERED
