NFE,Vanilla pLDDT,Fast-DLLM pLDDT,FlowA pLDDT,Winner pLDDT,Vanilla scPerp,Fast-DLLM scPerp,FlowA scPerp,Winner scPerp
100,41.1381,36.9037,43.8284,FlowA,18.1174,14.3514,13.9297,FlowA
200,41.1381,36.5487,43.6292,FlowA,18.1174,14.5229,14.1092,FlowA
