cell,n_easy,n_medium,n_hard,jt_statistic,jt_p_value,pairwise_min_p,power_gain_factor,monotone_confirmed
R2_Kanzi,330,340,330,269430.0,0.0001,5.678288793254167e-40,2.4888506750245755e+20,True
R6_k6,330,340,330,274924.0,0.0001,4.824788011685385e-65,1.3928703652640673e+20,True
