seq_idx,baseline_rmsd_A,framework_rmsd_A,paired_diff_A
26,0.813845,1.029029,-0.215184
260,0.734372,0.774468,-0.040096
261,1.003652,0.858440,0.145212
262,1.109522,0.925608,0.183914
263,1.135218,0.835563,0.299655
264,0.922058,0.823474,0.098584
265,0.899411,0.711640,0.187771
266,0.837256,0.903933,-0.066677
267,1.023833,0.941425,0.082408
268,1.048828,0.815587,0.233241
269,1.028766,1.047495,-0.018729
27,0.761989,0.675255,0.086734
270,1.052328,0.698235,0.354093
271,0.940262,0.830657,0.109606
272,0.853188,0.824431,0.028758
273,0.963590,0.878559,0.085031
274,1.029419,0.926381,0.103038
275,1.131552,0.865854,0.265698
276,0.988138,0.859135,0.129002
277,0.965708,0.844377,0.121331
278,0.980663,0.873856,0.106807
279,1.147389,0.703891,0.443499
28,0.739557,0.681636,0.057921
280,1.185040,1.049644,0.135396
281,1.214384,0.819376,0.395008
282,1.159732,1.066155,0.093576
283,1.017306,0.775708,0.241597
284,0.823774,0.795644,0.028130
285,1.008856,0.802839,0.206016
286,1.003301,0.928015,0.075286
287,1.183316,0.804475,0.378840
288,0.848100,0.821789,0.026311
289,0.858531,0.867176,-0.008645
29,0.992768,0.827477,0.165292
290,0.808250,0.960544,-0.152294
291,1.100681,0.702367,0.398314
292,0.901982,0.854173,0.047809
293,1.009064,1.015812,-0.006749
294,0.973817,0.691244,0.282573
295,0.864499,0.821661,0.042837
296,1.112933,0.964209,0.148724
297,0.882813,0.813880,0.068933
298,1.227883,0.993371,0.234512
299,1.055737,0.927529,0.128208
3,1.002553,0.674281,0.328272
30,0.736179,0.962082,-0.225904
300,0.890775,0.801141,0.089634
301,0.962607,0.879418,0.083189
302,1.033924,0.839806,0.194118
303,0.910524,0.744187,0.166336
304,0.918502,0.811381,0.107121
305,1.042179,0.832307,0.209872
306,0.956908,0.561182,0.395727
307,1.090812,0.665762,0.425050
308,0.884097,0.912398,-0.028301
309,0.738045,0.906538,-0.168493
31,0.874636,1.007193,-0.132557
310,0.933390,0.833881,0.099509
311,1.172214,0.743305,0.428908
312,1.016443,0.981360,0.035083
313,1.028920,0.936955,0.091965
314,0.768319,0.788413,-0.020094
315,0.783516,0.795478,-0.011962
316,0.827605,0.857626,-0.030020
317,0.977817,0.796913,0.180903
318,1.168843,0.844242,0.324601
319,0.871201,0.740831,0.130370
32,0.688106,1.166707,-0.478601
320,0.894676,1.052519,-0.157843
321,1.125475,1.144765,-0.019290
322,1.169087,0.928087,0.241000
323,0.928626,0.725080,0.203546
324,1.100400,1.049937,0.050463
325,0.919337,0.835538,0.083798
326,1.020037,0.963298,0.056739
327,1.068107,1.005998,0.062109
328,1.393980,0.731218,0.662762
329,0.930135,0.736309,0.193826
33,0.718233,0.887093,-0.168861
330,1.139361,0.942228,0.197133
331,0.846569,0.958139,-0.111570
332,1.094487,0.827197,0.267290
333,1.132093,0.948173,0.183921
334,1.046058,0.976916,0.069142
335,0.872340,0.831916,0.040424
336,1.029542,0.732311,0.297231
337,1.051736,0.919845,0.131891
338,0.947690,0.740218,0.207472
339,0.905619,0.746746,0.158873
34,0.800934,0.902631,-0.101696
340,0.925420,0.928111,-0.002691
341,0.979552,1.075577,-0.096025
342,1.038090,0.900124,0.137967
343,1.146402,0.840669,0.305733
344,1.062332,0.871192,0.191140
345,1.025159,0.827536,0.197623
346,1.033637,0.644860,0.388777
347,0.848466,0.825820,0.022646
348,0.912749,0.755282,0.157467
349,1.005165,0.869030,0.136135
35,0.604296,0.796645,-0.192350
350,0.837403,0.909750,-0.072347
351,1.099674,0.992901,0.106772
352,0.854359,0.944325,-0.089966
353,0.779752,1.076390,-0.296638
354,1.024107,0.986133,0.037974
355,1.205426,0.936699,0.268727
356,1.093234,0.687372,0.405863
357,1.074371,0.964215,0.110156
358,1.212432,0.784555,0.427877
359,1.037142,0.682443,0.354700
36,0.878420,0.932393,-0.053972
360,1.012791,0.883687,0.129103
361,1.073282,0.898787,0.174495
362,1.071990,1.048245,0.023745
363,0.990945,0.824177,0.166768
364,0.885781,0.863011,0.022770
365,1.090127,0.786364,0.303762
366,1.246438,0.951726,0.294712
367,0.892971,1.212041,-0.319070
368,1.186275,0.776822,0.409453
369,1.123240,0.673117,0.450123
37,0.940426,0.822266,0.118159
370,0.929420,0.812637,0.116783
371,1.207342,0.950628,0.256714
372,0.987821,0.725252,0.262569
373,0.886318,0.768165,0.118153
374,1.010593,1.149526,-0.138933
375,1.184321,0.850961,0.333360
376,1.016463,0.804081,0.212382
377,0.957318,1.003003,-0.045685
378,0.800187,0.827786,-0.027599
379,1.013780,0.897236,0.116544
38,0.865111,0.793762,0.071348
380,0.946414,0.984550,-0.038136
381,1.112287,0.778853,0.333434
382,0.824589,0.813303,0.011286
383,0.915631,0.839993,0.075638
384,1.173745,0.850714,0.323031
385,0.877300,0.919113,-0.041813
386,0.993446,0.909096,0.084350
387,0.891296,1.256803,-0.365507
388,0.941615,0.888217,0.053398
389,0.865504,0.986229,-0.120724
39,0.868217,0.914907,-0.046690
390,0.916721,1.060429,-0.143709
391,0.934460,0.799160,0.135300
392,0.965414,0.683821,0.281593
393,1.020071,0.798259,0.221812
394,1.127935,1.139463,-0.011529
395,1.057746,0.899776,0.157970
396,1.113814,0.760570,0.353243
397,0.981532,0.766572,0.214960
398,1.170590,1.172725,-0.002136
399,0.778238,1.156965,-0.378727
4,0.817319,0.798547,0.018772
40,0.616257,0.818171,-0.201914
400,1.018140,0.962144,0.055996
401,0.957156,0.856803,0.100353
402,1.205630,1.088706,0.116924
403,1.040825,0.842550,0.198275
404,0.789355,0.939197,-0.149842
405,1.063326,0.804503,0.258823
406,1.093196,0.834928,0.258268
407,1.036710,1.019251,0.017459
408,0.994839,0.965043,0.029796
409,1.184034,0.866812,0.317222
41,0.755263,0.650280,0.104983
410,1.169463,0.751528,0.417935
411,0.953201,0.852553,0.100648
412,0.938779,0.798569,0.140210
413,1.030111,0.980537,0.049574
414,1.191656,0.862594,0.329062
415,1.007349,0.688215,0.319135
416,1.056343,0.631211,0.425132
417,0.951664,1.091119,-0.139456
