seq_idx,baseline_rmsd_A,framework_rmsd_A,paired_diff_A
810,0.892226,0.787084,0.105143
811,0.851263,0.822681,0.028582
812,1.017692,0.861242,0.156450
813,1.090115,0.881716,0.208400
814,1.040944,0.788442,0.252502
815,0.992214,1.103769,-0.111555
816,0.895621,1.224741,-0.329120
817,0.914848,1.060583,-0.145735
818,0.954308,0.898651,0.055656
819,0.957936,0.869184,0.088751
82,1.091414,0.820737,0.270677
820,1.271704,0.805773,0.465931
821,1.119099,0.858108,0.260991
822,0.854595,0.880629,-0.026034
823,0.968627,0.736412,0.232215
824,0.839418,1.075078,-0.235660
825,0.977087,0.955300,0.021786
826,0.859021,0.826660,0.032361
827,0.774151,0.891462,-0.117311
828,0.996367,0.860415,0.135952
829,0.894825,0.790185,0.104639
83,0.715454,1.075356,-0.359901
830,0.840206,0.688500,0.151706
831,0.807472,0.696190,0.111282
832,0.826523,0.890310,-0.063786
833,1.066261,0.740314,0.325946
834,0.885720,0.737066,0.148654
835,1.158794,0.766139,0.392655
836,1.117098,0.898194,0.218905
837,0.973699,0.613374,0.360324
838,0.776579,0.903340,-0.126761
839,0.832901,0.885884,-0.052983
84,1.020458,0.962556,0.057902
840,0.927404,0.759947,0.167456
841,1.127910,0.968162,0.159748
842,0.858084,0.914771,-0.056687
843,1.038923,0.831186,0.207737
844,0.746008,0.933882,-0.187874
845,1.182986,0.934526,0.248460
846,0.801458,0.851244,-0.049786
847,1.079806,1.055007,0.024799
848,0.898733,0.855795,0.042939
849,1.011095,0.802519,0.208576
85,0.996720,0.748745,0.247975
850,0.838213,0.789315,0.048898
851,0.874194,0.920576,-0.046382
852,0.985712,0.679723,0.305990
853,0.815997,0.712551,0.103446
854,0.906930,0.938443,-0.031513
855,1.091145,0.895319,0.195827
856,0.842159,1.060069,-0.217910
857,0.937881,0.878264,0.059617
858,0.817292,0.957694,-0.140403
859,1.157665,0.900519,0.257146
86,0.837126,0.744030,0.093097
860,0.969297,0.797349,0.171948
861,0.955992,0.757735,0.198257
862,0.826884,0.608905,0.217979
863,1.037774,0.938147,0.099628
864,1.057900,0.911106,0.146795
865,1.053693,0.752739,0.300954
866,1.078621,0.808234,0.270387
867,0.974441,1.007049,-0.032609
868,0.842601,0.970703,-0.128102
869,1.016500,0.790303,0.226197
87,0.838678,0.892784,-0.054106
870,0.805102,0.876102,-0.071000
871,0.965425,0.937786,0.027639
872,0.930794,1.120133,-0.189339
873,1.004313,1.012155,-0.007842
874,1.010170,0.698129,0.312041
875,1.052654,1.165110,-0.112456
876,0.827066,0.937089,-0.110024
877,0.881738,1.013760,-0.132022
878,0.934342,0.838408,0.095935
879,0.900184,0.742779,0.157405
88,0.799500,0.929055,-0.129556
880,0.927765,0.981168,-0.053402
881,0.944021,1.100018,-0.155997
882,0.953073,0.860959,0.092114
883,0.905573,0.689013,0.216559
884,0.896258,0.993030,-0.096771
885,0.779694,1.033445,-0.253750
886,1.000437,0.664592,0.335845
887,0.792325,0.958390,-0.166064
888,1.115889,1.048429,0.067460
889,0.871798,0.670531,0.201266
89,0.535702,0.991155,-0.455453
890,0.994443,0.918436,0.076007
891,0.877974,0.927920,-0.049946
892,0.931453,0.981708,-0.050254
893,0.890007,0.893487,-0.003480
894,0.953378,0.917655,0.035723
895,1.043619,0.879982,0.163637
896,0.994518,1.009229,-0.014712
897,0.920686,0.893921,0.026765
898,0.835748,0.808110,0.027638
899,0.925048,0.607669,0.317379
9,0.782300,1.043659,-0.261359
90,0.901755,0.652749,0.249006
900,1.001163,0.883708,0.117455
901,0.949566,1.185546,-0.235981
902,1.053916,0.769170,0.284746
903,0.950628,1.049067,-0.098439
904,0.897240,0.733456,0.163784
905,0.900162,0.849465,0.050697
906,0.789862,1.029162,-0.239300
907,0.981484,0.847524,0.133960
908,0.870867,1.013597,-0.142729
909,0.906223,1.114751,-0.208528
91,0.937739,0.785878,0.151861
910,1.017437,0.863947,0.153489
911,0.957842,0.821462,0.136380
912,0.852040,1.036719,-0.184679
913,0.911354,0.670036,0.241318
914,0.892206,0.835459,0.056747
915,0.920616,0.893188,0.027429
916,0.758965,0.731842,0.027123
917,0.962481,0.773986,0.188495
918,0.920526,0.873807,0.046719
919,0.767992,1.070583,-0.302592
92,1.120801,1.111517,0.009285
920,1.010784,0.886141,0.124643
921,0.951932,0.975028,-0.023096
922,0.945531,0.863842,0.081689
923,1.022397,0.911960,0.110437
924,1.068839,0.887390,0.181449
925,0.856563,0.987615,-0.131052
926,1.004660,0.691658,0.313003
927,1.111446,0.888508,0.222939
928,0.833886,0.752850,0.081035
929,0.858645,0.735795,0.122850
93,0.639827,0.885559,-0.245731
930,0.861082,0.769298,0.091784
931,0.985644,0.602478,0.383165
932,0.983123,0.808167,0.174956
933,0.977610,1.019541,-0.041931
934,0.884461,1.026066,-0.141604
935,1.007490,0.975404,0.032086
936,1.034885,0.999917,0.034968
937,1.027119,0.735251,0.291869
938,0.873514,0.625379,0.248136
939,0.990016,1.090985,-0.100970
94,0.958072,0.770892,0.187180
940,0.984013,0.654970,0.329043
941,0.903236,0.671891,0.231345
942,0.927841,0.736432,0.191409
943,1.006834,1.061874,-0.055039
944,1.006281,0.880447,0.125835
945,0.891111,0.934890,-0.043778
946,0.783035,0.781566,0.001469
947,1.041512,0.670064,0.371449
948,1.028659,1.009905,0.018754
949,0.900653,0.846570,0.054083
95,0.593247,1.018012,-0.424765
950,1.194225,0.951471,0.242754
951,0.867146,0.771447,0.095699
952,0.900668,1.110254,-0.209586
953,0.919791,0.875647,0.044144
954,0.808549,0.735043,0.073506
955,0.869750,1.311546,-0.441796
956,0.975799,1.072854,-0.097055
957,0.935201,0.613570,0.321631
958,0.858830,0.756151,0.102679
959,0.888747,0.979569,-0.090822
96,0.838453,0.704355,0.134098
960,1.020284,0.908163,0.112121
961,0.982746,0.967497,0.015249
962,0.837022,1.098976,-0.261954
963,0.871465,0.682115,0.189350
964,0.969761,1.107841,-0.138080
965,0.976844,0.868555,0.108289
966,0.808292,0.912348,-0.104056
967,0.936688,1.004106,-0.067418
968,0.861760,0.912180,-0.050420
969,0.893302,0.878697,0.014605
97,0.792062,0.793276,-0.001214
970,0.915838,1.079797,-0.163959
971,0.977122,0.805515,0.171608
972,0.973250,0.892466,0.080784
973,1.038099,0.954870,0.083229
974,0.902843,0.948149,-0.045306
975,0.840664,1.062395,-0.221731
976,0.852862,0.851468,0.001394
977,0.946499,0.821857,0.124641
978,0.777587,0.956186,-0.178599
979,0.969469,1.189442,-0.219973
98,0.952516,1.004705,-0.052190
980,0.824104,0.699082,0.125021
981,0.923988,0.936043,-0.012056
982,0.885054,1.172840,-0.287786
983,0.880614,0.854610,0.026005
984,0.955320,0.904620,0.050700
985,1.037278,0.910549,0.126729
986,0.872564,1.034081,-0.161517
987,1.013416,0.687180,0.326235
988,0.920304,0.954412,-0.034108
989,0.721280,0.733175,-0.011895
99,0.597213,0.711196,-0.113983
990,0.920912,0.744056,0.176855
991,0.967823,0.794691,0.173132
992,0.907144,0.839122,0.068022
993,0.896667,0.744167,0.152500
994,1.034841,0.854038,0.180802
995,0.972229,1.062243,-0.090013
996,1.007253,1.047922,-0.040670
997,0.901236,0.800645,0.100590
998,0.980194,0.994939,-0.014746
999,0.873083,0.788782,0.084301
