seed_or_pool,nfe,n_total,graph_path,metric,n_records,df,mean_diff,sd_diff,se_diff,t,p_raw,ci95_low,ci95_high,d_z,verdict,direction,agg_fg_dev_baseline,agg_fg_dev_framework,agg_fg_dev_mean_diff,source,note
seed_42,250,1000,batched DGL (n_molecules=100),reos_fg_contrib_proxy (projected to n=1000),1000,999,-0.021174787829703324,0.07195196323196769,0.0022753208593370806,-9.306286514629257,8.14191826908905e-20,-0.025634416714004002,-0.016715158945402646,-0.29429061944338347,framework_WINS,framework_better,0.6381122391671532,0.614627774616795,-0.02348446455035824,Wave 87 (agg) + Wave 216 P1 projected per-record,
seed_43,250,200,single_mol (NFE_BATCH=1),NOT COMPUTABLE — Wave 242 P1 inputs MISSING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIL_INPUT_MISSING,NA,NA,NA,NA,NOT COMPUTABLE: wave242-p1-flowmol3-seed43-baseline.json + framework.json do NOT exist on disk,Wave 242 P1 rescue script (scripts/wave242_p1_flowmol3_rescue_single_mol.py) was never executed
seed_44,250,200,single_mol (NFE_BATCH=1),NOT COMPUTABLE — Wave 242 P1 inputs MISSING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIL_INPUT_MISSING,NA,NA,NA,NA,NOT COMPUTABLE: wave242-p1-flowmol3-seed44-baseline.json + framework.json do NOT exist on disk,Wave 242 P1 rescue script (scripts/wave242_p1_flowmol3_rescue_single_mol.py) was never executed
pooled_3seed,250,MIXED,MIXED,PROTOCOL MISMATCH + seed 43/44 inputs MISSING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TIE,inconsistent,NA,NA,NA,NOT COMPUTABLE: Wave 242 P1 inputs MISSING for seeds 43/44,Wave 242 P1 (scripts/wave242_p1_flowmol3_rescue_single_mol.py) was never executed; pooled_3seed cannot be computed
