seed_or_pool,nfe,n_total,graph_path,metric,n_records,df,mean_diff,sd_diff,se_diff,t,p_raw,ci95_low,ci95_high,d_z,verdict,direction,agg_fg_dev_baseline,agg_fg_dev_framework,agg_fg_dev_mean_diff,source,note
seed_42,250,1000,batched DGL (n_molecules=100),reos_fg_contrib_proxy (projected to n=1000),1000,999,-0.021174787829703324,0.07195196323196769,0.0022753208593370806,-9.306286514629257,8.14191826908905e-20,-0.025634416714004002,-0.016715158945402646,-0.29429061944338347,framework_WINS,framework_better,0.6381122391671532,0.614627774616795,-0.02348446455035824,Wave 87 (agg) + Wave 216 P1 projected per-record,
seed_43,100,500,single_mol,aggregate fg_dev (per-record reos_flag degenerate),500,499,0.0,0.0,0.0,nan,nan,0.0,0.0,nan,DEGENERATE,framework_worse,0.658308,0.677079,0.018770999999999982,Wave 235 P4 aggregate fg_dev (per-record reos_flag degenerate sd=0),per-record reos_flag diffs all 0 (sd=0.0000)
seed_44,100,499,single_mol,aggregate fg_dev (per-record reos_flag degenerate),499,498,0.0,0.0,0.0,nan,nan,0.0,0.0,nan,DEGENERATE,framework_worse,0.661201,0.673845,0.012643999999999989,Wave 235 P4 aggregate fg_dev (per-record reos_flag degenerate sd=0),per-record reos_flag diffs all 0 (sd=0.0000)
pooled_3seed,MIXED,MIXED,MIXED,PROTOCOL MISMATCH + per-record degenerate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TIE,inconsistent,NA,NA,NA,NOT COMPUTABLE: protocol mismatch (seed 42 NFE=250/N=1000/batched vs seeds 43/44 NFE=100/N=500/single_mol) + per-record degeneracy at seeds 43/44,not computable
