dataset,model,cell,metric,n_paired,mean_diff,sd_diff,t_statistic,df,p_value_raw,CI95_low,CI95_high,cohens_d_z,test_type,family,alpha_bonferroni,bonf_sig,higher_better,scheduler,nfe,rounds,delta_pct_vs_baseline
cifar10_rf_v4_n200_rounds2,rectified_flow_cifar,R_cifar_v4_nfe50_rounds2_CosineAnnealScheduler,per_sample_l2_sq_dist,200,478.7602739241104,87.93683776783706,76.99495338875755,199,4.594204841635632e-150,466.57285000096954,490.9476978472512,5.444365365833261,paired_t_test_per_sample_l2,CIFAR_v4_nfe50_rounds2_k4,0.0125,True,False,CosineAnnealScheduler,50,2,9.765173440218213
cifar10_rf_v4_n200_rounds2,rectified_flow_cifar,R_cifar_v4_nfe50_rounds2_CodimensionSheetScheduler,per_sample_l2_sq_dist,200,478.93143719747326,88.59226531787502,76.45264871614539,199,1.7914658390006076e-149,466.6531756503516,491.2096987445949,5.40601863468594,paired_t_test_per_sample_l2,CIFAR_v4_nfe50_rounds2_k4,0.0125,True,False,CodimensionSheetScheduler,50,2,9.787867740481733
cifar10_rf_v4_n200_rounds2,rectified_flow_cifar,R_cifar_v4_nfe50_rounds2_EvidenceDrivenScheduler,per_sample_l2_sq_dist,200,478.8787693465718,88.49076410045352,76.53192479767368,199,1.4674731218352577e-149,466.6145751504811,491.1429635426625,5.411624300169395,paired_t_test_per_sample_l2,CIFAR_v4_nfe50_rounds2_k4,0.0125,True,False,EvidenceDrivenScheduler,50,2,9.825986450031593
cifar10_rf_v4_n200_rounds2,rectified_flow_cifar,R_cifar_v4_nfe50_rounds2_FreeTrajScheduler,per_sample_l2_sq_dist,200,498.1075760893878,86.15164069016353,81.76634640770456,199,4.210871617737918e-155,486.16756785828494,510.04758432049067,5.781753801773619,paired_t_test_per_sample_l2,CIFAR_v4_nfe50_rounds2_k4,0.0125,True,False,FreeTrajScheduler,50,2,16.621578763267387
