model,nfe,seed,arm,n_records,plddt_mean,plddt_median,sc_perplexity_mean,sc_perplexity_median,n_with_both,effective_nfe_mean,mean_confidence,skip_rate,wall_s
lineageflow,100,42,fastdllm,30,36.24758646980817,34.593450969827586,15.881101817553644,15.193599767104452,30,150.0,0.9993986342669413,0.3333333333333333,68.40924429893494
lineageflow,100,43,fastdllm,30,37.04466194450948,33.898479755538574,14.791436710221701,14.468688104651015,30,150.0,0.9994075593102147,0.3333333333333333,5.607887268066406
lineageflow,100,44,fastdllm,30,37.41896883490763,35.44797297297296,12.381764483556301,11.910031072759189,30,150.0,0.999385013619027,0.3333333333333333,5.513183116912842
lineageflow,200,42,fastdllm,30,35.87304528920133,34.23321659482758,16.033455919938962,15.632322381446349,30,300.0,0.999842788357902,0.3333333333333333,5.809376001358032
lineageflow,200,43,fastdllm,30,36.32905230810273,33.387580161822,15.137997047877016,14.882942372917622,30,300.0,0.9998450210654737,0.3333333333333333,9.54202651977539
lineageflow,200,44,fastdllm,30,37.44393106830891,35.19970999136645,12.397384323209781,11.910033916719552,30,300.0,0.9998393522657777,0.3333333333333333,9.801090002059937
