scope,metric,n_paired,n_cap_base,sheet_A_weight,cell_C_weight,packing_B_weight,intensity_factor,uniform_d_z,uniform_mean_diff,uniform_p_value,tuned_d_z,tuned_mean_diff,tuned_p_value,delta_d_z,delta_mean_diff,verdict,bonf_sig,ci95_low,ci95_high
uniform_full,reconstruction_rmsd_A,1000,0.5,1.0,1.0,1.0,1.0,-0.09900259141333856,-0.01896431033601489,0.0017943338542103756,-0.09900259141333856,-0.01896431033601489,0.0017943338542103756,0.0,0.0,framework_wins,True,-0.0308369301894464,-0.007091690482583379
grid_subset,reconstruction_rmsd_A,100,0.1,0.5,0.5,1.0,0.2,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.01855419324974595,-0.003810473084343654,0.8531836074274713,0.07421677299898424,0.01524189233737471,tie,False,-0.04406297635831825,0.03644203018963094
grid_subset,reconstruction_rmsd_A,100,0.1,0.5,1.0,1.0,0.1,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.009277096624873042,-0.0019052365421718409,0.9262729954086708,0.08349386962385716,0.017147128879546523,tie,False,-0.042157739816146435,0.038347266731802755
grid_subset,reconstruction_rmsd_A,100,0.1,0.5,2.0,1.0,0.05,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.004638548312436475,-0.000952618271085911,0.9630964476976489,0.08813241793629373,0.018099747150632454,tie,False,-0.04120512154506051,0.03929988500288868
grid_subset,reconstruction_rmsd_A,100,0.1,1.0,0.5,1.0,0.4,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.03710838649949209,-0.007620946168687347,0.7113679799206118,0.05566257974923811,0.011431419253031016,tie,False,-0.04787344944266194,0.03263155710528725
grid_subset,reconstruction_rmsd_A,100,0.1,1.0,1.0,1.0,0.2,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.01855419324974595,-0.003810473084343654,0.8531836074274713,0.07421677299898424,0.01524189233737471,tie,False,-0.04406297635831825,0.03644203018963094
grid_subset,reconstruction_rmsd_A,100,0.1,1.0,2.0,1.0,0.1,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.009277096624873042,-0.0019052365421718409,0.9262729954086708,0.08349386962385716,0.017147128879546523,tie,False,-0.042157739816146435,0.038347266731802755
grid_subset,reconstruction_rmsd_A,100,0.1,2.0,0.5,1.0,0.8,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.0742167729989841,-0.015241892337374678,0.4597429312989441,0.018554193249746095,0.003810473084343685,underpowered,False,-0.05549439561134927,0.025010610936599918
grid_subset,reconstruction_rmsd_A,100,0.1,2.0,1.0,1.0,0.4,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.03710838649949209,-0.007620946168687347,0.7113679799206118,0.05566257974923811,0.011431419253031016,tie,False,-0.04787344944266194,0.03263155710528725
grid_subset,reconstruction_rmsd_A,100,0.1,2.0,2.0,1.0,0.2,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.01855419324974595,-0.003810473084343654,0.8531836074274713,0.07421677299898424,0.01524189233737471,tie,False,-0.04406297635831825,0.03644203018963094
grid_subset,reconstruction_rmsd_A,100,0.3,0.5,0.5,1.0,0.6,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.05566257974923808,-0.01143141925303101,0.5790392196806121,0.03710838649949212,0.007620946168687354,underpowered,False,-0.051683922527005606,0.028821084020943584
grid_subset,reconstruction_rmsd_A,100,0.3,0.5,1.0,1.0,0.3,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.02783128987461919,-0.005715709626515536,0.7813526327875423,0.06493967637411101,0.013336655795202827,tie,False,-0.04596821290049013,0.03453679364745906
grid_subset,reconstruction_rmsd_A,100,0.3,0.5,2.0,1.0,0.15,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.013915644937309485,-0.0028578548132577454,0.889609211565311,0.07885532131142071,0.016194510608460617,tie,False,-0.04311035808723234,0.03739464846071685
grid_subset,reconstruction_rmsd_A,100,0.3,1.0,0.5,1.0,1.2,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.11132515949847623,-0.022862838506062032,0.2682961063041405,-0.018554193249746026,-0.003810473084343669,underpowered,False,-0.06311534178003662,0.017389664767912563
grid_subset,reconstruction_rmsd_A,100,0.3,1.0,1.0,1.0,0.6,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.05566257974923808,-0.01143141925303101,0.5790392196806121,0.03710838649949212,0.007620946168687354,underpowered,False,-0.051683922527005606,0.028821084020943584
