NFE,Vanilla pLDDT,AB-Cache pLDDT,Fast-DLLM pLDDT,LeDiFlow pLDDT,FlowA pLDDT,Winner pLDDT,Vanilla scPerp,AB-Cache scPerp,Fast-DLLM scPerp,LeDiFlow scPerp,FlowA scPerp,Winner scPerp
100,41.1381,39.8905,36.9037,39.4521,43.8284,FlowA,18.1174,14.8886,14.3514,14.4883,13.9297,FlowA
200,41.1381,40.5691,36.5487,39.5340,43.6292,FlowA,18.1174,14.6379,14.5229,14.2828,14.1092,FlowA
