nfe,baseline_n1_plddt,framework_plddt,baseline_n1_scperp,framework_scperp
10,42.34383978867649,44.21010858558757,18.14351509700373,14.153882103929316
50,42.34383978867649,41.49726585525926,18.143515055793706,14.756517513649875
100,42.34383978867649,40.9457180763388,18.143515514529135,14.989249384266698
200,42.34383978867649,40.99838953759588,18.143515618289133,15.060214003096243
500,42.34383978867649,40.77747080350496,18.143515753531535,14.987406838105708
