round_index,n_cap,w2,selection_ratio,n_endpoints
0,1.0,0.07899486658804267,0.8335870547708226,1000
1,0.8535533905932737,0.06337707639169396,0.8313182794878802,1000
2,0.5,0.07679094219070261,0.8303639998287318,1000
3,0.14644660940672627,0.07692684538589271,0.8275654016230213,1000
4,0.0,0.07730388438929811,0.8281244149865967,1000
